Taxa	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Holophagae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacilli	22.0	9.0	3714.0	26.0	6.0	39.0	236.0	84.0	33.0	1391.0	18.0	140.0	1204.0	179.0	662.0	2762.0	88.0	835.0	1904.0	40.0	2.0	41.0	333.0	117.0	369.0	5576.0	13532.0	3377.0	25.0	186.0	734.0	666.0	801.0	743.0	50.0	60.0	78.0	1271.0	2348.0	617.0	1656.0	17644.0	37348.0	2512.0	1034.0	1364.0	130.0	4754.0	470.0	556.0	538.0	114.0	398.0	810.0	41050.0	5524.0	86.0	110.0	114.0	135.0	44.0	146.0	284.0	386.0	27.0	284.0	3202.0	5462.0	120.0	387.0	1124.0	34.0	238.0	1142.0	296.0	68.0	738.0	662.0	1116.0	62.0	67.0	8608.0	2058.0	14314.0	3056.0	3284.0	3196.0	1402.0	65.0	745.0	99.0	211.0	68.0	2732.0	7806.0	4870.0	906.0	2526.0	12.0	365.0	230.0	804.0	904.0	286.0	1964.0	356.0	376.0	754.0	818.0	667.0	793.0	6.0	2710.0	139.0	156.0	4019.0	5577.0	232.0	144.0	3933.0	3729.0	62.0	723.0	691.0	818.0	8226.0	672.0	472.0	13.0	2203.0	666.0	1427.0	626.0	22815.0	3231.0	472.0	15245.0	9012.0	289.0	2275.0	7772.0	133.0	86.0	3266.0	231.0	73733.0	745.0	34378.0	55.0	786.0	49.0	6029.0	6206.0	1686.0	4510.0	2499.0	590.0	2787.0	2725.0	26.0	40832.0	5644.0	99602.0	670.0	8508.0	234.0	18.0	2079.0	18320.0	17230.0	300.0	181.0	1922.0	2426.0	18772.0	26848.0	3222.0	16322.0	2270.0	34022.0	120.0	1214.0	6380.0	1265.0	572.0	10192.0	4528.0	3585.0	54968.0	918.0	15684.0	500.0	800.0	983.0	18132.0	254.0	10824.0	4980.0	1184.0	1678.0	7636.0	16.0	37963.0	1753.0	309.0	4339.0	5514.0	7372.0	15690.0	10040.0	144.0	10998.0	725.0	40722.0	2466.0	23159.0	1202.0	523.0	2576.0	346.0	304.0	6592.0	33935.0	44.0	8798.0	10638.0	7026.0	1219.0	222.0	164.0	502.0	5204.0	415.0	1604.0	217.0	1104.0	3254.0	1290.0	126.0
Fusobacteriia	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	5.0	1.0	588.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	7900.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	5.0	1.0	46.0	2.0	6.0	6.0	784.0	12.0	0.0	0.0	144.0	0.0	0.0	122.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	22748.0	29.0	18.0	2.0	0.0	4.0	10.0	0.0	2.0	0.0	0.0	1.0	2.0	32.0	4500.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	7.0	0.0	806.0	1.0	0.0	6.0	15.0	0.0	0.0	0.0	0.0	7.0	74.0	0.0	0.0	3.0	0.0	0.0	0.0	78.0	0.0	12.0	1486.0	1.0	1.0	2.0	0.0	964.0	2.0	1.0	13.0	4.0	2.0	407.0	3.0	1402.0	5.0	3.0	3.0	2.0	0.0	263.0	26.0	8.0	2.0	5024.0	1428.0	52.0	2.0	50.0	2130.0	7.0	126.0	10.0	36.0	10.0	0.0	0.0	126.0	32.0	0.0	2.0	0.0	15.0	218.0	4262.0	0.0	0.0	2.0	0.0	0.0	746.0	134.0	8.0	0.0	40.0	1054.0	2.0	260.0	0.0	10.0	0.0	12.0	0.0	2.0	0.0	100.0	0.0	460.0	0.0	24221.0	0.0	3.0	21.0	7.0	1.0	0.0	310.0	14.0	46.0	0.0	0.0	1.0	0.0	228.0	5.0	0.0	0.0	0.0	11.0	0.0	2.0	29.0	0.0	2.0	42.0	18.0	0.0	0.0	15.0	1.0	14218.0	0.0	0.0	16.0	40.0	18.0	34.0	14.0
[Fimbriimonadia]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TM7-3	0.0	3.0	14.0	0.0	0.0	1.0	7.0	9.0	0.0	20.0	1.0	1.0	25.0	1.0	4.0	4.0	1.0	0.0	12.0	0.0	0.0	3.0	22.0	1.0	14.0	22.0	20.0	2.0	0.0	2.0	53.0	3.0	49.0	2.0	2.0	3.0	0.0	3.0	13.0	0.0	4.0	0.0	42.0	8.0	58.0	26.0	18.0	16.0	12.0	4.0	16.0	0.0	16.0	0.0	96.0	52.0	1.0	0.0	5.0	1.0	0.0	2.0	0.0	22.0	0.0	40.0	2.0	48.0	0.0	5.0	0.0	4.0	0.0	44.0	0.0	2.0	2.0	5.0	160.0	0.0	0.0	7.0	15.0	84.0	182.0	2.0	20.0	17.0	0.0	8.0	0.0	18.0	5.0	6.0	188.0	2.0	0.0	12.0	0.0	0.0	1.0	46.0	10.0	4.0	6.0	3.0	0.0	12.0	17.0	12.0	104.0	0.0	76.0	3.0	0.0	61.0	182.0	2.0	1.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	10.0	6.0	16.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	26.0	0.0	6.0	16.0	0.0	0.0	4.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	10.0	0.0	6.0	0.0	16.0	2.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	2.0	3.0	6.0	0.0	4.0	0.0	2.0	0.0	4.0	0.0	3.0	0.0	1.0	18.0	2.0	0.0	0.0	2.0	16.0	0.0	0.0
Deltaproteobacteria	0.0	246.0	29.0	42.0	213.0	50.0	0.0	4.0	5.0	18.0	60.0	51.0	74.0	17.0	133.0	10.0	166.0	6.0	102.0	0.0	0.0	74.0	22.0	0.0	0.0	870.0	0.0	46.0	102.0	98.0	121.0	93.0	308.0	581.0	56.0	15.0	0.0	489.0	29.0	50.0	1210.0	822.0	136.0	2332.0	1456.0	40.0	550.0	388.0	480.0	8.0	430.0	304.0	150.0	0.0	780.0	76.0	70.0	168.0	107.0	67.0	0.0	544.0	458.0	96.0	56.0	374.0	19.0	30.0	194.0	438.0	119.0	4.0	20.0	126.0	0.0	382.0	28.0	40.0	840.0	0.0	56.0	1.0	258.0	16.0	74.0	216.0	8630.0	17.0	0.0	127.0	0.0	1.0	120.0	12.0	0.0	268.0	0.0	98.0	0.0	21.0	299.0	8.0	44.0	23.0	4.0	0.0	64.0	0.0	36.0	200.0	3380.0	0.0	16.0	0.0	20.0	2914.0	926.0	220.0	37.0	105.0	0.0	70.0	211.0	59.0	171.0	6.0	372.0	129.0	2.0	316.0	155.0	297.0	687.0	719.0	154.0	1.0	79.0	85.0	27.0	4.0	281.0	295.0	22.0	1114.0	2.0	75.0	55.0	228.0	0.0	92.0	0.0	76.0	39.0	34.0	2.0	181.0	21.0	813.0	119.0	8.0	1096.0	478.0	660.0	38.0	146.0	2.0	36.0	1.0	1008.0	40.0	78.0	113.0	516.0	117.0	556.0	6416.0	2.0	10.0	2.0	154.0	0.0	610.0	14.0	212.0	256.0	116.0	588.0	135.0	170.0	14.0	2702.0	1.0	0.0	272.0	640.0	1.0	94.0	2.0	26.0	174.0	242.0	52.0	41.0	4.0	106.0	1.0	0.0	0.0	36.0	1104.0	2.0	460.0	40.0	210.0	82.0	0.0	8.0	56.0	18.0	202.0	15.0	0.0	212.0	8.0	70.0	530.0	12.0	18.0	196.0	84.0	26.0	3342.0	0.0	401.0	374.0	512.0	409.0	5.0	105.0
Oscillatoriophycideae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia	11117.0	13725.0	77563.0	11265.0	19206.0	8531.0	20826.0	24459.0	1237.0	22328.0	11884.0	34429.0	46820.0	6512.0	15491.0	47980.0	6022.0	9523.0	45630.0	150.0	45.0	6641.0	6882.0	30767.0	43178.0	97330.0	52898.0	53232.0	11762.0	31781.0	19930.0	39595.0	45842.0	29102.0	14358.0	18171.0	69990.0	22986.0	83362.0	21608.0	92056.0	115118.0	113674.0	324338.0	97684.0	34502.0	32182.0	415400.0	106924.0	10482.0	96782.0	11748.0	44672.0	7164.0	270340.0	235772.0	21244.0	40716.0	35778.0	18761.0	3538.0	61668.0	64752.0	65734.0	25348.0	113430.0	5509.0	97010.0	11448.0	21918.0	68418.0	9000.0	30562.0	144706.0	54660.0	20896.0	61352.0	2287.0	93342.0	63957.0	33381.0	21321.0	64410.0	94274.0	124468.0	127938.0	478634.0	72273.0	26455.0	31209.0	26882.0	68201.0	21584.0	301208.0	291970.0	34767.0	126680.0	277126.0	4474.0	7143.0	45869.0	19013.0	98438.0	101945.0	67244.0	85776.0	4292.0	62858.0	32931.0	40535.0	78944.0	89.0	189714.0	47689.0	16076.0	884631.0	58374.0	36851.0	48409.0	54865.0	58884.0	32884.0	49660.0	15071.0	28877.0	108883.0	29098.0	89034.0	70.0	60000.0	37555.0	84772.0	68289.0	159397.0	34734.0	55386.0	15558.0	18957.0	7615.0	29697.0	61738.0	33890.0	10720.0	25426.0	5343.0	40275.0	14840.0	117624.0	2908.0	20704.0	4076.0	15721.0	3744.0	7186.0	38562.0	23357.0	5321.0	43896.0	62918.0	2398.0	223154.0	98720.0	196466.0	53280.0	147430.0	20552.0	7658.0	59929.0	160222.0	59728.0	98280.0	23237.0	89880.0	23680.0	145732.0	604868.0	65326.0	3720.0	2048.0	110320.0	566.0	83028.0	154250.0	121078.0	49924.0	54194.0	167938.0	11574.0	25400.0	12075.0	65896.0	44524.0	103750.0	79987.0	88792.0	43581.0	14116.0	46468.0	16860.0	350282.0	39593.0	16234.0	48484.0	114792.0	50518.0	48148.0	21376.0	83748.0	126394.0	257280.0	64502.0	21244.0	12618.0	50628.0	6960.0	24134.0	23446.0	21724.0	73530.0	78639.0	57477.0	25042.0	35808.0	28894.0	356168.0	118022.0	162150.0	9994.0	36339.0	17521.0	17686.0	451136.0	47328.0	19911.0	72603.0	140357.0	93567.0	4790.0	32361.0
Deinococci	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	25.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	8.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	13.0	0.0	10.0	0.0	0.0	7.0	9.0	0.0	0.0	0.0	41.0	0.0	24.0	11.0	25.0	195.0	9.0	4.0	0.0	88.0	12.0	11.0	16.0	806.0	23.0	3.0	670.0	345.0	0.0	80.0	200.0	2.0	3.0	81.0	0.0	984.0	9.0	0.0	0.0	27.0	4.0	170.0	266.0	8.0	36.0	102.0	1.0	17.0	51.0	0.0	1280.0	248.0	3416.0	8.0	56.0	0.0	0.0	60.0	6.0	540.0	0.0	6.0	20.0	3.0	174.0	68.0	12.0	382.0	64.0	950.0	2.0	22.0	102.0	34.0	8.0	164.0	128.0	87.0	1904.0	25.0	390.0	5.0	28.0	12.0	172.0	4.0	198.0	139.0	4.0	0.0	214.0	0.0	1410.0	13.0	3.0	110.0	30.0	178.0	404.0	38.0	0.0	358.0	6.0	1232.0	4.0	764.0	41.0	18.0	2.0	3.0	0.0	84.0	878.0	0.0	242.0	292.0	230.0	21.0	2.0	6.0	12.0	4.0	7.0	22.0	4.0	3.0	54.0	33.0	1.0
Mollicutes	0.0	15.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	783.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	2.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	1.0	0.0	0.0	0.0	2.0	2220.0	0.0	4.0	0.0	2.0	0.0	1.0	0.0	92.0	6.0	2.0	0.0	0.0	182.0	19.0	0.0	0.0	0.0	4.0	72.0	2.0	2.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	1322.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2062.0	0.0	0.0	5.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	1.0	0.0	0.0	14.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	2234.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0	104.0	0.0	0.0	0.0	2.0	0.0	14.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	4358.0	0.0	0.0	4.0	3.0	1496.0	0.0	2.0	0.0	2.0	126.0	0.0	0.0	22.0	4.0	0.0	0.0	1.0	0.0	0.0	2235.0	0.0	0.0	242.0	4.0	38.0	14.0	4.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0
Flavobacteriia	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	36.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	22.0	1.0	0.0	8.0	0.0	0.0	6.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	1.0	0.0	8.0	0.0	0.0	2.0	8.0	0.0	10.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Synergistia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1908.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	3.0	0.0	26.0	509.0	0.0	0.0	0.0	0.0	0.0	13.0	804.0	0.0	3.0	92.0	0.0	0.0	279.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	29.0	0.0	0.0	2.0	0.0	2.0	0.0	10.0	0.0	0.0	55.0	0.0	0.0	2.0	102.0	0.0	4.0	2.0	0.0	3.0	0.0	2.0	4.0	6.0	0.0	0.0	0.0	8.0	479.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	4.0	4.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	193.0	698.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	32.0	0.0	0.0	1.0	0.0	0.0	13.0	0.0
