Taxa	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Acetobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	14.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Eubacteriaceae	1605.0	597.0	8886.0	1491.0	1191.0	1123.0	1228.0	2982.0	52.0	4234.0	1545.0	5313.0	3479.0	103.0	717.0	3398.0	186.0	467.0	9331.0	15.0	7.0	764.0	547.0	2828.0	1250.0	10080.0	3608.0	3841.0	1458.0	10002.0	523.0	713.0	5838.0	1074.0	1839.0	1652.0	10330.0	1668.0	8235.0	4043.0	4750.0	9700.0	12604.0	28970.0	4964.0	4776.0	3440.0	25626.0	4358.0	1106.0	10000.0	1650.0	1574.0	1088.0	41498.0	57792.0	2383.0	1070.0	3778.0	1297.0	70.0	20812.0	4174.0	2264.0	3719.0	4344.0	584.0	17070.0	522.0	1307.0	6920.0	570.0	1232.0	5596.0	1724.0	262.0	1624.0	68.0	6678.0	11633.0	9076.0	294.0	2405.0	3736.0	7352.0	15078.0	136658.0	8955.0	3019.0	3508.0	3687.0	18247.0	2813.0	15282.0	10352.0	611.0	5020.0	12630.0	166.0	396.0	2991.0	490.0	2210.0	7010.0	11882.0	3075.0	218.0	1204.0	4778.0	5231.0	21821.0	4.0	9402.0	2615.0	996.0	152295.0	4899.0	6644.0	7308.0	1743.0	4582.0	4806.0	2376.0	1678.0	498.0	12331.0	950.0	5137.0	13.0	4589.0	2653.0	12466.0	6230.0	6937.0	4396.0	2534.0	1434.0	367.0	1366.0	3276.0	3053.0	3805.0	22.0	461.0	315.0	157.0	849.0	9961.0	118.0	458.0	503.0	670.0	175.0	752.0	4582.0	653.0	143.0	1993.0	15736.0	98.0	16018.0	22853.0	12506.0	1800.0	2934.0	2356.0	628.0	6052.0	15168.0	2988.0	4180.0	405.0	5096.0	2252.0	11194.0	27084.0	2266.0	278.0	40.0	19862.0	39.0	11520.0	6894.0	20951.0	19086.0	1260.0	6984.0	873.0	1508.0	1000.0	1964.0	7631.0	4516.0	4887.0	4292.0	3301.0	1242.0	4912.0	124.0	32054.0	1164.0	488.0	3267.0	25733.0	3721.0	2552.0	1682.0	2480.0	14684.0	19384.0	3426.0	792.0	801.0	3256.0	480.0	800.0	1725.0	1976.0	1908.0	6742.0	2912.0	2029.0	3145.0	1916.0	20244.0	4626.0	3682.0	346.0	6714.0	6029.0	746.0	7786.0	6404.0	784.0	19434.0	20923.0	11963.0	197.0	1551.0
Ignavibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0	305.0	0.0	0.0	0.0	0.0	0.0	2206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	245.0	0.0	515.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	473.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	550.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	1.0	0.0	33.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spirochaetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	49.0	0.0	1.0	3.0	0.0	0.0	0.0	97.0	0.0	18.0	0.0	18.0	0.0	0.0	6.0	30.0	0.0	0.0	4.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	6.0	1.0	46.0	310.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0	2.0	0.0	4.0	8.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	14.0	14.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	7.0	2.0	1.0	0.0	0.0	6.0	0.0	33.0	74.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	19.0	28.0	0.0	16.0	6.0	4.0	1.0	1.0	0.0	2.0	0.0	7.0	7.0	0.0	6.0	226.0	0.0	5.0	62.0	0.0	92.0	6.0	8.0	2.0	6.0	2.0	0.0	177.0	0.0	2.0	8.0	0.0	550.0	0.0	0.0	4.0	0.0	0.0	0.0	22.0	0.0	0.0	16.0	1.0	0.0	2.0	26.0	0.0	4.0	2.0	1896.0	0.0	10.0	2.0	12.0	0.0	8.0	0.0	0.0	6.0	1.0	0.0	1.0	3.0	0.0	3.0	0.0	0.0	2.0	6.0	4.0	4.0	0.0	22.0	2.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0	0.0	34.0	26.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0
Rubrobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckiaceae	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	0.0	16.0	0.0	2.0	1.0	2.0	0.0	1.0	13.0	8.0	0.0	4.0	4.0	6.0	5.0	2.0	14.0	0.0	6.0	12.0	6.0	4.0	2.0	20.0	8.0	12.0	4.0	4.0	12.0	0.0	18.0	8.0	1.0	0.0	6.0	2.0	0.0	8.0	8.0	2.0	3.0	4.0	0.0	0.0	18.0	2.0	1.0	0.0	0.0	2.0	2.0	8.0	4.0	1.0	6.0	0.0	0.0	0.0	2.0	6.0	4.0	30.0	2.0	0.0	0.0	2.0	4.0	3.0	5.0	36.0	18.0	5.0	28.0	2.0	0.0	0.0	6.0	0.0	2.0	15.0	5.0	5.0	0.0	24.0	0.0	8.0	3.0	0.0	0.0	6.0	1.0	302.0	5.0	2.0	1.0	5.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	8.0	2.0	18.0	1.0	0.0	2.0	0.0	1.0	1.0	136.0	0.0	0.0	0.0	0.0	0.0	44.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	26.0	26.0	4.0	0.0	10.0	0.0	0.0	6.0	6.0	2.0	0.0	2.0	22.0	4.0	10.0	36.0	0.0	0.0	0.0	8.0	0.0	0.0	6.0	9.0	0.0	0.0	2.0	0.0	4.0	0.0	18.0	3.0	8.0	3.0	2.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	12.0	2.0	2.0	5.0	2.0	18.0	14.0	34.0	2.0	0.0	2.0	2.0	2.0	5.0	5.0	0.0	0.0	3.0	5.0	2.0	2.0	0.0	20.0	44.0	20.0	0.0	16.0	0.0	0.0	42.0	4.0	0.0	51.0	11.0	5.0	0.0	3.0
Comamonadaceae	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	24.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1778.0	58.0	256.0	172.0	468.0	14.0	224.0	26.0	0.0	22.0	112.0	40.0	706.0	0.0	536.0	274.0	0.0	12.0	0.0	0.0	16.0	14.0	210.0	26.0	0.0	228.0	0.0	4.0	4.0	4.0	3.0	0.0	36.0	158.0	14.0	192.0	34.0	0.0	2204.0	1.0	0.0	0.0	39.0	1108.0	390.0	2.0	202.0	1.0	0.0	5.0	1170.0	0.0	0.0	58.0	538.0	0.0	132.0	92.0	14.0	0.0	0.0	0.0	120.0	0.0	1.0	0.0	256.0	188.0	0.0	0.0	3.0	0.0	462.0	1687.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	76.0	0.0	0.0	0.0	0.0	0.0	414.0	1.0	1448.0	16.0	142.0	6.0	40.0	0.0	68.0	706.0	28.0	0.0	20.0	0.0	532.0	386.0	6.0	388.0	346.0	720.0	0.0	564.0	60.0	0.0	32.0	60.0	100.0	0.0	746.0	0.0	222.0	0.0	22.0	0.0	54.0	1627.0	82.0	0.0	6.0	34.0	0.0	0.0	2.0	0.0	3.0	0.0	16.0	512.0	456.0	30.0	12.0	96.0	0.0	766.0	52.0	0.0	0.0	0.0	42.0	8.0	0.0	0.0	4.0	4.0	52.0	98.0	322.0	0.0	0.0	0.0	0.0	88.0	427.0	0.0	0.0	1.0	2.0	0.0	0.0
Cyclobacteriaceae	0.0	42.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	1.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	17.0	0.0	0.0	0.0	33.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	290.0	0.0	4.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	58.0	0.0	2.0	0.0	118.0	0.0	6.0	0.0	0.0	0.0	22.0	0.0	0.0	82.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	12.0	0.0	4.0	6.0	1328.0	0.0	0.0	3.0	0.0	0.0	157.0	185.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	6.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	88.0	0.0	8.0	0.0	82.0	0.0	0.0	0.0	0.0	138.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	10.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	12.0	0.0	0.0	0.0	192.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	196.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
Bifidobacteriaceae	0.0	3.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	17.0	10.0	0.0	0.0	13.0	0.0	5.0	5.0	0.0	0.0	0.0	6.0	1.0	2.0	0.0	0.0	4.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	6.0	72.0	0.0	0.0	56.0	0.0	18.0	0.0	2.0	8.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	24.0	8.0	0.0	0.0	2.0	0.0	10.0	8.0	2.0	0.0	5.0	0.0	0.0	38.0	6.0	9.0	4.0	0.0	0.0	6.0	2.0	0.0	4.0	4.0	0.0	40.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	7.0	0.0	22.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	128.0	0.0	0.0	3.0	0.0	2.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	30.0	0.0	6.0	0.0	14.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	16.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	8.0	44.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	14.0	0.0	98.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	30.0	4.0	8.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0
Hyphomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acholeplasmataceae	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	13.0	2.0	100.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	18.0	0.0	1.0	38.0	33.0	0.0	51.0	10.0	0.0	2.0	232.0	299.0	2.0	16.0	0.0	18.0	4.0	0.0	1026.0	2.0	0.0	4.0	12.0	2.0	156.0	0.0	162.0	2.0	0.0	0.0	0.0	0.0	0.0	464.0	1.0	0.0	0.0	0.0	2122.0	0.0	12.0	95.0	0.0	0.0	1.0	6.0	126.0	858.0	12.0	2.0	2.0	4.0	225.0	2.0	5.0	0.0	0.0	8.0	82.0	10.0	2836.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	46.0	0.0	0.0	0.0	14.0	0.0	0.0	10.0	4.0	30.0	0.0	0.0	2.0	48.0	6.0	201.0	2.0	2.0	0.0	4.0	1.0	171.0	18.0	2.0	0.0	1.0	0.0	0.0	5.0	24.0	0.0	1.0	0.0	4.0	18.0	0.0	0.0	0.0	0.0	4.0	11.0	0.0	0.0	0.0	3.0	1.0	0.0	15.0	43.0	3.0	0.0	1.0	6.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	6.0	0.0	0.0	0.0	27.0	2.0	8.0	5.0	0.0	6.0	0.0	0.0	10.0	30.0	0.0	222.0	2538.0	1.0	2.0	277.0	0.0	4.0	10.0	6.0	0.0	6.0	6.0	510.0	12.0	3.0	2.0	10.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	204.0	2.0	0.0	0.0	2.0	8734.0	9.0	0.0	0.0	8.0	5.0	1.0	0.0	2.0	0.0	4002.0	2.0	2.0	291.0	0.0	0.0	0.0	2.0	1.0	14.0	10.0	3.0	2.0	2.0	2.0	8.0	10.0	0.0	5.0	0.0	0.0	1.0	24.0	2.0	180.0	0.0	3.0	2.0	1.0	0.0
Caulobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
